Age;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999
509;6.931;7.559;7.958;8.18;8.537;8.789;9.179;9.964;10.836;11.344;11.704;12.266;12.648;13.413;14.864
510;6.936;7.564;7.963;8.185;8.543;8.795;9.185;9.971;10.844;11.352;11.712;12.274;12.657;13.422;14.874
511;6.941;7.569;7.969;8.191;8.549;8.801;9.191;9.978;10.851;11.359;11.721;12.283;12.666;13.432;14.885
512;6.946;7.575;7.974;8.197;8.555;8.807;9.198;9.985;10.859;11.367;11.729;12.291;12.675;13.441;14.895
513;6.951;7.58;7.98;8.202;8.561;8.813;9.204;9.992;10.866;11.375;11.737;12.3;12.684;13.451;14.906
514;6.956;7.585;7.985;8.208;8.567;8.82;9.211;9.999;10.874;11.383;11.745;12.309;12.693;13.46;14.917
515;6.961;7.59;7.991;8.214;8.573;8.826;9.217;10.006;10.881;11.391;11.753;12.317;12.702;13.47;14.927
516;6.966;7.596;7.997;8.22;8.578;8.832;9.223;10.013;10.889;11.399;11.761;12.326;12.71;13.479;14.938
517;6.97;7.601;8.002;8.225;8.584;8.838;9.23;10.02;10.896;11.407;11.769;12.334;12.719;13.488;14.948
518;6.975;7.606;8.008;8.231;8.59;8.844;9.236;10.027;10.904;11.415;11.778;12.343;12.728;13.498;14.96
519;6.98;7.612;8.013;8.237;8.596;8.85;9.242;10.033;10.912;11.423;11.786;12.352;12.737;13.508;14.97
520;6.985;7.617;8.019;8.242;8.602;8.856;9.249;10.04;10.919;11.43;11.794;12.36;12.746;13.517;14.981
521;6.99;7.622;8.024;8.248;8.608;8.862;9.255;10.047;10.926;11.438;11.802;12.369;12.755;13.526;14.991
522;6.995;7.627;8.03;8.254;8.614;8.868;9.261;10.054;10.934;11.446;11.81;12.377;12.764;13.536;15.002
523;7;7.633;8.035;8.259;8.62;8.874;9.268;10.061;10.941;11.454;11.818;12.386;12.773;13.545;15.013
524;7.005;7.638;8.041;8.265;8.626;8.88;9.274;10.068;10.949;11.462;11.827;12.394;12.781;13.555;15.023
525;7.009;7.643;8.046;8.271;8.632;8.886;9.28;10.075;10.956;11.47;11.835;12.403;12.79;13.564;15.034
526;7.014;7.649;8.052;8.276;8.638;8.893;9.287;10.082;10.964;11.478;11.843;12.411;12.799;13.574;15.044
527;7.019;7.654;8.057;8.282;8.643;8.899;9.293;10.088;10.971;11.486;11.851;12.42;12.808;13.583;15.055
528;7.024;7.659;8.063;8.288;8.649;8.905;9.299;10.095;10.979;11.493;11.859;12.429;12.817;13.593;15.066
529;7.029;7.664;8.068;8.293;8.655;8.911;9.306;10.102;10.986;11.501;11.867;12.437;12.826;13.602;15.076
530;7.034;7.67;8.074;8.299;8.661;8.917;9.312;10.109;10.994;11.509;11.875;12.446;12.834;13.612;15.087
531;7.039;7.675;8.079;8.305;8.667;8.923;9.318;10.116;11.001;11.517;11.883;12.454;12.843;13.621;15.098
532;7.044;7.68;8.085;8.31;8.673;8.929;9.325;10.123;11.009;11.525;11.892;12.463;12.852;13.63;15.108
533;7.048;7.685;8.091;8.316;8.679;8.935;9.331;10.13;11.016;11.533;11.9;12.471;12.861;13.64;15.119
534;7.053;7.691;8.096;8.322;8.685;8.941;9.337;10.137;11.024;11.541;11.908;12.48;12.87;13.649;15.129
535;7.058;7.696;8.101;8.327;8.691;8.947;9.344;10.143;11.031;11.548;11.916;12.488;12.879;13.659;15.14
536;7.063;7.701;8.107;8.333;8.696;8.953;9.35;10.15;11.039;11.556;11.924;12.497;12.888;13.668;15.151
537;7.068;7.706;8.112;8.339;8.702;8.959;9.356;10.157;11.046;11.564;11.932;12.505;12.896;13.678;15.161
538;7.073;7.712;8.118;8.344;8.708;8.965;9.363;10.164;11.054;11.572;11.94;12.514;12.905;13.687;15.172
539;7.077;7.717;8.124;8.35;8.714;8.971;9.369;10.171;11.061;11.58;11.948;12.522;12.914;13.696;15.182
540;7.082;7.722;8.129;8.356;8.72;8.977;9.375;10.178;11.069;11.588;11.956;12.531;12.923;13.706;15.193
541;7.087;7.727;8.135;8.361;8.726;8.983;9.382;10.185;11.076;11.595;11.965;12.54;12.932;13.715;15.204
542;7.092;7.732;8.14;8.367;8.732;8.989;9.388;10.191;11.084;11.603;11.973;12.548;12.941;13.725;15.215
543;7.097;7.738;8.146;8.372;8.738;8.996;9.394;10.198;11.091;11.611;11.981;12.557;12.949;13.734;15.225
544;7.102;7.743;8.151;8.378;8.744;9.002;9.4;10.205;11.099;11.619;11.989;12.565;12.958;13.744;15.236
545;7.107;7.748;8.157;8.384;8.749;9.008;9.407;10.212;11.106;11.627;11.997;12.574;12.967;13.753;15.246
546;7.111;7.754;8.162;8.389;8.755;9.014;9.413;10.219;11.114;11.635;12.005;12.582;12.976;13.762;15.257
547;7.116;7.759;8.168;8.395;8.761;9.02;9.419;10.226;11.121;11.642;12.013;12.591;12.984;13.772;15.267
548;7.121;7.764;8.173;8.401;8.767;9.026;9.426;10.232;11.128;11.65;12.021;12.599;12.993;13.781;15.278
549;7.126;7.769;8.178;8.406;8.773;9.032;9.432;10.239;11.136;11.658;12.029;12.608;13.002;13.791;15.289
550;7.131;7.774;8.184;8.412;8.779;9.038;9.438;10.246;11.143;11.666;12.038;12.616;13.011;13.8;15.299
551;7.136;7.78;8.189;8.418;8.785;9.044;9.444;10.253;11.151;11.674;12.046;12.625;13.02;13.809;15.31
552;7.14;7.785;8.195;8.423;8.79;9.05;9.451;10.26;11.158;11.682;12.054;12.633;13.029;13.819;15.32
553;7.145;7.79;8.2;8.429;8.796;9.056;9.457;10.267;11.166;11.689;12.062;12.642;13.037;13.828;15.331
554;7.15;7.795;8.206;8.434;8.802;9.062;9.463;10.273;11.173;11.697;12.07;12.65;13.046;13.838;15.341
555;7.155;7.801;8.211;8.44;8.808;9.068;9.47;10.28;11.181;11.705;12.078;12.659;13.055;13.847;15.352
556;7.16;7.806;8.217;8.446;8.814;9.074;9.476;10.287;11.188;11.713;12.086;12.667;13.064;13.857;15.363
557;7.165;7.811;8.222;8.451;8.82;9.08;9.482;10.294;11.196;11.721;12.094;12.676;13.073;13.866;15.373
558;7.169;7.816;8.228;8.457;8.826;9.086;9.489;10.301;11.203;11.729;12.102;12.684;13.082;13.875;15.384
559;7.174;7.822;8.233;8.463;8.832;9.092;9.495;10.308;11.21;11.736;12.11;12.693;13.09;13.885;15.394
560;7.179;7.827;8.239;8.468;8.837;9.098;9.501;10.314;11.218;11.744;12.118;12.701;13.099;13.894;15.405
561;7.184;7.832;8.244;8.474;8.843;9.104;9.507;10.321;11.225;11.752;12.127;12.71;13.108;13.904;15.416
562;7.189;7.837;8.25;8.479;8.849;9.11;9.514;10.328;11.233;11.76;12.135;12.719;13.117;13.913;15.426
563;7.193;7.842;8.255;8.485;8.855;9.116;9.52;10.335;11.24;11.768;12.143;12.727;13.126;13.922;15.437
564;7.198;7.848;8.261;8.491;8.861;9.122;9.526;10.342;11.248;11.775;12.151;12.735;13.134;13.932;15.447
565;7.203;7.853;8.266;8.496;8.867;9.128;9.533;10.349;11.255;11.783;12.159;12.744;13.143;13.941;15.458
566;7.208;7.858;8.272;8.502;8.872;9.134;9.539;10.355;11.263;11.791;12.167;12.753;13.152;13.951;15.469
567;7.213;7.863;8.277;8.507;8.878;9.14;9.545;10.362;11.27;11.799;12.175;12.761;13.161;13.96;15.479
568;7.217;7.868;8.283;8.513;8.884;9.146;9.551;10.369;11.277;11.807;12.183;12.77;13.17;13.969;15.49
569;7.222;7.874;8.288;8.519;8.89;9.152;9.558;10.376;11.285;11.815;12.191;12.778;13.178;13.979;15.5
570;7.227;7.879;8.294;8.524;8.896;9.158;9.564;10.383;11.292;11.822;12.199;12.786;13.187;13.988;15.511
571;7.232;7.884;8.299;8.53;8.902;9.164;9.57;10.39;11.3;11.83;12.208;12.795;13.196;13.998;15.522
572;7.237;7.889;8.304;8.535;8.908;9.17;9.576;10.396;11.307;11.838;12.216;12.804;13.205;14.007;15.532
573;7.241;7.894;8.31;8.541;8.913;9.176;9.583;10.403;11.315;11.846;12.224;12.812;13.214;14.016;15.542
574;7.246;7.9;8.315;8.547;8.919;9.182;9.589;10.41;11.322;11.854;12.232;12.821;13.222;14.026;15.553
575;7.251;7.905;8.321;8.552;8.925;9.188;9.595;10.417;11.33;11.861;12.24;12.829;13.231;14.035;15.563
576;7.256;7.91;8.326;8.558;8.931;9.194;9.602;10.424;11.337;11.869;12.248;12.838;13.24;14.045;15.574
577;7.261;7.915;8.332;8.563;8.937;9.2;9.608;10.43;11.345;11.877;12.256;12.846;13.249;14.054;15.585
578;7.265;7.92;8.337;8.569;8.943;9.206;9.614;10.437;11.352;11.885;12.264;12.855;13.257;14.063;15.595
579;7.27;7.926;8.343;8.575;8.948;9.212;9.62;10.444;11.359;11.893;12.272;12.863;13.266;14.073;15.606
580;7.275;7.931;8.348;8.58;8.954;9.218;9.627;10.451;11.367;11.901;12.28;12.872;13.275;14.082;15.617
581;7.28;7.936;8.353;8.586;8.96;9.224;9.633;10.458;11.374;11.908;12.288;12.88;13.284;14.092;15.627
582;7.285;7.941;8.359;8.592;8.966;9.23;9.639;10.465;11.382;11.916;12.296;12.889;13.293;14.101;15.638
583;7.29;7.946;8.364;8.597;8.972;9.236;9.645;10.471;11.389;11.924;12.304;12.897;13.301;14.11;15.648
584;7.294;7.952;8.37;8.603;8.978;9.242;9.652;10.478;11.397;11.932;12.312;12.905;13.31;14.12;15.658
585;7.299;7.957;8.375;8.608;8.983;9.248;9.658;10.485;11.404;11.94;12.321;12.914;13.319;14.129;15.669
586;7.304;7.962;8.381;8.614;8.989;9.254;9.664;10.492;11.411;11.947;12.329;12.923;13.328;14.138;15.68
587;7.309;7.967;8.386;8.619;8.995;9.26;9.671;10.499;11.419;11.955;12.337;12.931;13.337;14.148;15.69
588;7.313;7.972;8.392;8.625;9.001;9.266;9.677;10.505;11.426;11.963;12.345;12.939;13.345;14.157;15.701
589;7.318;7.977;8.397;8.631;9.007;9.272;9.683;10.512;11.434;11.971;12.353;12.948;13.354;14.167;15.712
590;7.323;7.983;8.402;8.636;9.013;9.278;9.689;10.519;11.441;11.979;12.361;12.957;13.363;14.176;15.722
591;7.328;7.988;8.408;8.642;9.018;9.284;9.696;10.526;11.449;11.986;12.369;12.965;13.372;14.185;15.733
592;7.332;7.993;8.413;8.647;9.024;9.29;9.702;10.533;11.456;11.994;12.377;12.974;13.381;14.195;15.743
593;7.337;7.998;8.419;8.653;9.03;9.296;9.708;10.539;11.463;12.002;12.385;12.982;13.389;14.204;15.754
594;7.342;8.003;8.424;8.658;9.036;9.302;9.714;10.546;11.471;12.01;12.393;12.99;13.398;14.213;15.764
595;7.347;8.008;8.43;8.664;9.042;9.308;9.721;10.553;11.478;12.017;12.401;12.999;13.407;14.223;15.775
596;7.351;8.014;8.435;8.67;9.047;9.314;9.727;10.56;11.486;12.025;12.409;13.008;13.416;14.232;15.786
597;7.356;8.019;8.44;8.675;9.053;9.32;9.733;10.567;11.493;12.033;12.417;13.016;13.425;14.242;15.796
598;7.361;8.024;8.446;8.681;9.059;9.326;9.739;10.573;11.5;12.041;12.425;13.024;13.433;14.251;15.807
599;7.366;8.029;8.451;8.686;9.065;9.332;9.746;10.58;11.508;12.049;12.433;13.033;13.442;14.26;15.817
600;7.371;8.034;8.457;8.692;9.071;9.338;9.752;10.587;11.515;12.057;12.442;13.042;13.451;14.27;15.828
601;7.375;8.039;8.462;8.698;9.077;9.344;9.758;10.594;11.523;12.064;12.45;13.05;13.46;14.279;15.838
602;7.38;8.045;8.468;8.703;9.082;9.35;9.764;10.601;11.53;12.072;12.458;13.058;13.468;14.289;15.849
603;7.385;8.05;8.473;8.709;9.088;9.356;9.771;10.607;11.538;12.08;12.466;13.067;13.477;14.298;15.86
604;7.39;8.055;8.478;8.714;9.094;9.362;9.777;10.614;11.545;12.088;12.474;13.075;13.486;14.307;15.87
605;7.394;8.06;8.484;8.72;9.1;9.368;9.783;10.621;11.552;12.096;12.482;13.084;13.495;14.317;15.88
606;7.399;8.065;8.489;8.725;9.106;9.374;9.789;10.628;11.56;12.103;12.49;13.093;13.504;14.326;15.891
607;7.404;8.07;8.495;8.731;9.111;9.38;9.796;10.635;11.567;12.111;12.498;13.101;13.513;14.336;15.902
608;7.409;8.076;8.5;8.737;9.117;9.386;9.802;10.641;11.575;12.119;12.506;13.109;13.521;14.345;15.912
609;7.413;8.081;8.505;8.742;9.123;9.392;9.808;10.648;11.582;12.127;12.514;13.118;13.53;14.355;15.923
610;7.418;8.086;8.511;8.748;9.129;9.398;9.814;10.655;11.59;12.135;12.522;13.126;13.539;14.364;15.934
611;7.423;8.091;8.516;8.753;9.135;9.404;9.821;10.662;11.597;12.142;12.53;13.135;13.548;14.373;15.944
612;7.428;8.096;8.522;8.759;9.14;9.41;9.827;10.669;11.605;12.15;12.538;13.144;13.557;14.383;15.955
613;7.432;8.101;8.527;8.764;9.146;9.416;9.833;10.675;11.612;12.158;12.547;13.152;13.565;14.392;15.966
614;7.437;8.107;8.533;8.77;9.152;9.422;9.839;10.682;11.619;12.166;12.555;13.16;13.574;14.401;15.976
615;7.442;8.112;8.538;8.775;9.158;9.428;9.845;10.689;11.627;12.174;12.563;13.169;13.583;14.411;15.987
616;7.447;8.117;8.543;8.781;9.164;9.434;9.852;10.696;11.634;12.181;12.571;13.178;13.592;14.42;15.997
617;7.451;8.122;8.549;8.787;9.169;9.44;9.858;10.703;11.642;12.189;12.579;13.186;13.6;14.43;16.008
618;7.456;8.127;8.554;8.792;9.175;9.446;9.864;10.709;11.649;12.197;12.587;13.195;13.609;14.439;16.019
619;7.461;8.132;8.56;8.798;9.181;9.452;9.87;10.716;11.657;12.205;12.595;13.203;13.618;14.449;16.029
620;7.466;8.137;8.565;8.803;9.187;9.458;9.877;10.723;11.664;12.213;12.603;13.211;13.627;14.458;16.039
621;7.47;8.143;8.571;8.809;9.193;9.464;9.883;10.73;11.671;12.221;12.611;13.22;13.636;14.468;16.05
622;7.475;8.148;8.576;8.814;9.198;9.47;9.889;10.737;11.679;12.228;12.619;13.229;13.645;14.477;16.061
623;7.48;8.153;8.581;8.82;9.204;9.476;9.895;10.743;11.686;12.236;12.627;13.237;13.653;14.486;16.071
624;7.484;8.158;8.587;8.826;9.21;9.482;9.902;10.75;11.694;12.244;12.635;13.246;13.662;14.496;16.082
625;7.489;8.163;8.592;8.831;9.216;9.488;9.908;10.757;11.701;12.252;12.643;13.254;13.671;14.505;16.093
626;7.494;8.168;8.598;8.837;9.222;9.494;9.914;10.764;11.709;12.26;12.652;13.263;13.68;14.515;16.104
627;7.499;8.173;8.603;8.842;9.227;9.5;9.92;10.771;11.716;12.267;12.66;13.271;13.689;14.524;16.114
628;7.504;8.179;8.608;8.848;9.233;9.506;9.927;10.777;11.723;12.275;12.668;13.28;13.697;14.533;16.124
629;7.508;8.184;8.614;8.853;9.239;9.512;9.933;10.784;11.731;12.283;12.676;13.288;13.706;14.543;16.135
630;7.513;8.189;8.619;8.859;9.245;9.518;9.939;10.791;11.738;12.291;12.684;13.297;13.715;14.552;16.146
631;7.518;8.194;8.625;8.864;9.251;9.523;9.945;10.798;11.746;12.299;12.692;13.305;13.724;14.562;16.157
632;7.522;8.199;8.63;8.87;9.256;9.529;9.952;10.805;11.753;12.306;12.7;13.314;13.733;14.571;16.167
633;7.527;8.204;8.636;8.876;9.262;9.535;9.958;10.811;11.761;12.314;12.708;13.322;13.741;14.58;16.177
634;7.532;8.209;8.641;8.881;9.268;9.541;9.964;10.818;11.768;12.322;12.716;13.331;13.75;14.59;16.188
635;7.537;8.215;8.646;8.887;9.274;9.547;9.97;10.825;11.775;12.33;12.724;13.339;13.759;14.599;16.199
636;7.541;8.22;8.652;8.892;9.28;9.553;9.977;10.832;11.783;12.338;12.733;13.348;13.768;14.609;16.21
637;7.546;8.225;8.657;8.898;9.285;9.559;9.983;10.839;11.79;12.346;12.741;13.356;13.777;14.618;16.22
638;7.551;8.23;8.662;8.903;9.291;9.565;9.989;10.845;11.798;12.353;12.749;13.365;13.786;14.628;16.231
639;7.555;8.235;8.668;8.909;9.297;9.571;9.995;10.852;11.805;12.361;12.757;13.373;13.795;14.637;16.242
640;7.56;8.24;8.673;8.914;9.303;9.577;10.002;10.859;11.813;12.369;12.765;13.382;13.804;14.647;16.253
641;7.565;8.245;8.679;8.92;9.309;9.583;10.008;10.866;11.82;12.377;12.773;13.391;13.812;14.656;16.263
642;7.57;8.251;8.684;8.926;9.314;9.589;10.014;10.873;11.828;12.385;12.781;13.399;13.821;14.665;16.273
643;7.574;8.256;8.689;8.931;9.32;9.595;10.02;10.879;11.835;12.392;12.789;13.408;13.83;14.675;16.284
644;7.579;8.261;8.695;8.937;9.326;9.601;10.027;10.886;11.842;12.4;12.797;13.416;13.839;14.684;16.295
645;7.584;8.266;8.7;8.942;9.332;9.607;10.033;10.893;11.85;12.408;12.805;13.425;13.848;14.694;16.306
646;7.589;8.271;8.706;8.948;9.338;9.613;10.039;10.9;11.857;12.416;12.813;13.433;13.856;14.703;16.316
647;7.593;8.276;8.711;8.953;9.343;9.619;10.045;10.907;11.865;12.424;12.822;13.442;13.865;14.713;16.327
648;7.598;8.281;8.716;8.959;9.349;9.625;10.051;10.913;11.872;12.432;12.83;13.45;13.874;14.722;16.337
649;7.603;8.286;8.722;8.964;9.355;9.631;10.058;10.92;11.88;12.44;12.838;13.459;13.883;14.732;16.349
650;7.607;8.292;8.727;8.97;9.361;9.637;10.064;10.927;11.887;12.447;12.846;13.467;13.892;14.741;16.359
651;7.612;8.297;8.733;8.975;9.367;9.643;10.07;10.934;11.895;12.455;12.854;13.476;13.901;14.751;16.37
652;7.617;8.302;8.738;8.981;9.372;9.649;10.077;10.941;11.902;12.463;12.862;13.485;13.91;14.76;16.38
653;7.621;8.307;8.743;8.987;9.378;9.655;10.083;10.947;11.91;12.471;12.87;13.493;13.919;14.77;16.391
654;7.626;8.312;8.749;8.992;9.384;9.661;10.089;10.954;11.917;12.479;12.878;13.502;13.927;14.779;16.402
655;7.631;8.317;8.754;8.998;9.39;9.667;10.095;10.961;11.925;12.487;12.887;13.51;13.936;14.789;16.413
656;7.636;8.322;8.76;9.003;9.396;9.673;10.102;10.968;11.932;12.494;12.895;13.519;13.945;14.798;16.423
657;7.64;8.327;8.765;9.009;9.401;9.679;10.108;10.975;11.94;12.502;12.903;13.528;13.954;14.808;16.434
658;7.645;8.333;8.77;9.014;9.407;9.685;10.114;10.982;11.947;12.51;12.911;13.536;13.963;14.817;16.445
659;7.65;8.338;8.776;9.02;9.413;9.691;10.12;10.988;11.954;12.518;12.919;13.545;13.972;14.827;16.456
660;7.654;8.343;8.781;9.025;9.419;9.697;10.126;10.995;11.962;12.526;12.927;13.553;13.981;14.836;16.466
661;7.659;8.348;8.787;9.031;9.424;9.703;10.133;11.002;11.969;12.534;12.935;13.562;13.99;14.846;16.477
662;7.664;8.353;8.792;9.037;9.43;9.709;10.139;11.009;11.977;12.542;12.943;13.57;13.998;14.855;16.487
663;7.669;8.358;8.797;9.042;9.436;9.715;10.145;11.016;11.984;12.549;12.952;13.579;14.007;14.865;16.498
664;7.673;8.363;8.803;9.048;9.442;9.721;10.152;11.022;11.992;12.557;12.96;13.587;14.016;14.874;16.509
665;7.678;8.368;8.808;9.053;9.448;9.726;10.158;11.029;11.999;12.565;12.968;13.596;14.025;14.884;16.52
666;7.683;8.374;8.814;9.059;9.454;9.732;10.164;11.036;12.007;12.573;12.976;13.604;14.034;14.893;16.53
667;7.687;8.379;8.819;9.064;9.459;9.738;10.17;11.043;12.014;12.581;12.984;13.613;14.043;14.903;16.541
668;7.692;8.384;8.824;9.07;9.465;9.744;10.176;11.05;12.022;12.589;12.992;13.622;14.052;14.912;16.552
669;7.697;8.389;8.83;9.075;9.471;9.75;10.183;11.057;12.029;12.597;13;13.63;14.061;14.922;16.563
670;7.701;8.394;8.835;9.081;9.477;9.756;10.189;11.063;12.037;12.604;13.009;13.639;14.07;14.931;16.574
671;7.706;8.399;8.841;9.087;9.483;9.762;10.195;11.07;12.044;12.612;13.017;13.648;14.078;14.941;16.584
672;7.711;8.404;8.846;9.092;9.488;9.768;10.202;11.077;12.052;12.62;13.025;13.656;14.087;14.95;16.595
673;7.716;8.409;8.851;9.098;9.494;9.774;10.208;11.084;12.059;12.628;13.033;13.665;14.096;14.96;16.605
674;7.72;8.414;8.857;9.103;9.5;9.78;10.214;11.091;12.066;12.636;13.041;13.673;14.105;14.969;16.616
675;7.725;8.42;8.862;9.109;9.506;9.786;10.22;11.098;12.074;12.644;13.049;13.682;14.114;14.979;16.627
676;7.73;8.425;8.868;9.114;9.512;9.792;10.227;11.104;12.081;12.652;13.058;13.691;14.123;14.988;16.638
677;7.734;8.43;8.873;9.12;9.517;9.798;10.233;11.111;12.089;12.66;13.066;13.699;14.132;14.998;16.649
678;7.739;8.435;8.878;9.125;9.523;9.804;10.239;11.118;12.096;12.667;13.074;13.708;14.141;15.008;16.66
679;7.744;8.44;8.884;9.131;9.529;9.81;10.245;11.125;12.104;12.675;13.082;13.716;14.15;15.017;16.67
680;7.749;8.445;8.889;9.136;9.535;9.816;10.252;11.132;12.111;12.683;13.09;13.725;14.158;15.026;16.681
681;7.753;8.45;8.894;9.142;9.54;9.822;10.258;11.138;12.119;12.691;13.098;13.734;14.167;15.036;16.692
682;7.758;8.455;8.9;9.147;9.546;9.828;10.264;11.145;12.126;12.699;13.107;13.742;14.177;15.046;16.703
683;7.763;8.461;8.905;9.153;9.552;9.834;10.27;11.152;12.134;12.707;13.115;13.751;14.185;15.055;16.713
684;7.767;8.466;8.911;9.158;9.558;9.84;10.277;11.159;12.141;12.715;13.123;13.759;14.194;15.065;16.724
685;7.772;8.471;8.916;9.164;9.564;9.846;10.283;11.166;12.149;12.723;13.131;13.768;14.203;15.074;16.735
686;7.777;8.476;8.921;9.17;9.569;9.852;10.289;11.173;12.156;12.73;13.139;13.777;14.212;15.084;16.746
687;7.781;8.481;8.927;9.175;9.575;9.858;10.295;11.18;12.164;12.738;13.147;13.785;14.221;15.094;16.757
688;7.786;8.486;8.932;9.181;9.581;9.864;10.302;11.186;12.171;12.746;13.155;13.794;14.23;15.103;16.767
689;7.791;8.491;8.938;9.186;9.587;9.87;10.308;11.193;12.179;12.754;13.164;13.803;14.239;15.113;16.778
690;7.796;8.497;8.943;9.192;9.593;9.876;10.314;11.2;12.186;12.762;13.172;13.811;14.248;15.122;16.789
691;7.8;8.502;8.948;9.197;9.598;9.882;10.32;11.207;12.194;12.77;13.18;13.82;14.257;15.132;16.8
692;7.805;8.507;8.954;9.203;9.604;9.888;10.327;11.214;12.201;12.778;13.188;13.829;14.266;15.142;16.811
693;7.81;8.512;8.959;9.209;9.61;9.894;10.333;11.221;12.209;12.786;13.196;13.837;14.275;15.151;16.821
694;7.814;8.517;8.965;9.214;9.616;9.9;10.339;11.227;12.216;12.794;13.205;13.846;14.284;15.16;16.832
695;7.819;8.522;8.97;9.22;9.622;9.906;10.345;11.234;12.224;12.802;13.213;13.854;14.293;15.17;16.843
696;7.824;8.527;8.975;9.225;9.627;9.912;10.352;11.241;12.231;12.809;13.221;13.863;14.301;15.18;16.854
697;7.828;8.532;8.981;9.231;9.633;9.918;10.358;11.248;12.239;12.817;13.229;13.872;14.31;15.189;16.865
698;7.833;8.537;8.986;9.236;9.639;9.924;10.364;11.255;12.246;12.825;13.237;13.88;14.319;15.199;16.875
699;7.838;8.543;8.992;9.242;9.645;9.93;10.371;11.262;12.254;12.833;13.246;13.889;14.328;15.208;16.886
700;7.842;8.548;8.997;9.247;9.651;9.936;10.377;11.268;12.261;12.841;13.254;13.898;14.337;15.218;16.897
701;7.847;8.553;9.003;9.253;9.657;9.942;10.383;11.275;12.269;12.849;13.262;13.906;14.346;15.227;16.908
702;7.852;8.558;9.008;9.258;9.662;9.948;10.389;11.282;12.276;12.857;13.27;13.915;14.355;15.237;16.919
703;7.856;8.563;9.013;9.264;9.668;9.954;10.396;11.289;12.284;12.865;13.278;13.923;14.364;15.247;16.93
704;7.861;8.568;9.019;9.27;9.674;9.96;10.402;11.296;12.291;12.873;13.286;13.932;14.373;15.256;16.94
705;7.866;8.573;9.024;9.275;9.68;9.966;10.408;11.303;12.299;12.88;13.295;13.941;14.382;15.266;16.951
706;7.87;8.578;9.029;9.281;9.685;9.972;10.414;11.31;12.307;12.889;13.303;13.949;14.391;15.276;16.962
707;7.875;8.583;9.035;9.286;9.691;9.978;10.421;11.316;12.314;12.896;13.311;13.958;14.4;15.285;16.973
708;7.88;8.589;9.04;9.292;9.697;9.984;10.427;11.323;12.322;12.904;13.319;13.967;14.409;15.295;16.984
709;7.884;8.594;9.045;9.297;9.703;9.99;10.433;11.33;12.329;12.912;13.327;13.975;14.418;15.304;16.995
710;7.889;8.599;9.051;9.303;9.709;9.996;10.439;11.337;12.337;12.92;13.336;13.984;14.427;15.314;17.005
711;7.894;8.604;9.056;9.308;9.715;10.002;10.446;11.344;12.344;12.928;13.344;13.993;14.436;15.324;17.017
712;7.899;8.609;9.062;9.314;9.72;10.007;10.452;11.351;12.352;12.936;13.352;14.001;14.445;15.333;17.028
713;7.903;8.614;9.067;9.32;9.726;10.014;10.458;11.358;12.359;12.944;13.36;14.01;14.454;15.343;17.038
714;7.908;8.619;9.072;9.325;9.732;10.019;10.465;11.364;12.367;12.952;13.368;14.019;14.463;15.352;17.049
715;7.913;8.624;9.078;9.331;9.738;10.025;10.471;11.371;12.374;12.96;13.377;14.027;14.472;15.362;17.06
716;7.917;8.63;9.083;9.336;9.744;10.031;10.477;11.378;12.382;12.968;13.385;14.036;14.481;15.371;17.071
717;7.922;8.635;9.089;9.342;9.749;10.037;10.483;11.385;12.389;12.976;13.393;14.045;14.49;15.381;17.082
718;7.927;8.64;9.094;9.347;9.755;10.043;10.49;11.392;12.397;12.983;13.401;14.053;14.499;15.391;17.093
719;7.931;8.645;9.099;9.353;9.761;10.049;10.496;11.399;12.404;12.991;13.41;14.062;14.508;15.401;17.104
720;7.936;8.65;9.105;9.358;9.767;10.055;10.502;11.406;12.412;12.999;13.418;14.071;14.517;15.41;17.114
721;7.941;8.655;9.11;9.364;9.773;10.061;10.508;11.412;12.419;13.007;13.426;14.079;14.526;15.42;17.125
722;7.945;8.66;9.116;9.369;9.778;10.067;10.515;11.419;12.427;13.015;13.434;14.088;14.535;15.43;17.136
723;7.95;8.665;9.121;9.375;9.784;10.073;10.521;11.426;12.434;13.023;13.442;14.097;14.543;15.439;17.147
724;7.955;8.67;9.126;9.381;9.79;10.079;10.527;11.433;12.442;13.031;13.451;14.105;14.553;15.449;17.158
725;7.959;8.675;9.132;9.386;9.796;10.085;10.533;11.44;12.449;13.039;13.459;14.114;14.562;15.458;17.169
726;7.964;8.68;9.137;9.392;9.801;10.091;10.54;11.447;12.457;13.047;13.467;14.123;14.571;15.468;17.18
727;7.969;8.686;9.143;9.397;9.807;10.097;10.546;11.454;12.465;13.055;13.475;14.131;14.58;15.478;17.191
728;7.973;8.691;9.148;9.403;9.813;10.103;10.552;11.46;12.472;13.063;13.484;14.14;14.589;15.487;17.202
729;7.978;8.696;9.153;9.408;9.819;10.109;10.559;11.467;12.48;13.071;13.492;14.149;14.598;15.497;17.213
730;7.983;8.701;9.159;9.414;9.825;10.115;10.565;11.474;12.487;13.079;13.5;14.157;14.607;15.506;17.223
731;7.987;8.706;9.164;9.419;9.831;10.121;10.571;11.481;12.495;13.087;13.508;14.166;14.616;15.516;17.234
732;7.992;8.711;9.169;9.425;9.836;10.127;10.577;11.488;12.502;13.095;13.517;14.175;14.625;15.526;17.245
733;7.997;8.716;9.175;9.43;9.842;10.133;10.584;11.495;12.51;13.103;13.525;14.184;14.634;15.536;17.256
