Age;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999
44;3.038;3.381;3.597;3.715;3.905;4.038;4.241;4.643;5.077;5.324;5.498;5.763;5.942;6.292;6.935
45;3.061;3.406;3.623;3.742;3.933;4.066;4.27;4.674;5.11;5.359;5.533;5.8;5.98;6.332;6.978
46;3.084;3.431;3.648;3.768;3.96;4.094;4.299;4.704;5.143;5.393;5.568;5.837;6.017;6.371;7.02
47;3.107;3.456;3.674;3.795;3.987;4.121;4.327;4.735;5.176;5.427;5.603;5.873;6.054;6.41;7.062
48;3.13;3.48;3.699;3.82;4.014;4.149;4.356;4.765;5.208;5.46;5.637;5.908;6.09;6.448;7.104
49;3.153;3.504;3.724;3.846;4.04;4.176;4.384;4.795;5.24;5.493;5.671;5.944;6.127;6.486;7.145
50;3.175;3.528;3.749;3.871;4.066;4.203;4.411;4.825;5.271;5.526;5.704;5.978;6.162;6.523;7.186
51;3.197;3.551;3.774;3.896;4.092;4.229;4.439;4.854;5.303;5.559;5.738;6.013;6.198;6.561;7.226
52;3.219;3.575;3.798;3.921;4.118;4.255;4.466;4.883;5.334;5.591;5.771;6.047;6.233;6.598;7.267
53;3.241;3.598;3.822;3.946;4.143;4.281;4.493;4.912;5.364;5.623;5.803;6.081;6.268;6.634;7.306
54;3.262;3.621;3.846;3.97;4.168;4.307;4.519;4.94;5.395;5.654;5.836;6.115;6.302;6.67;7.345
55;3.283;3.644;3.87;3.994;4.193;4.333;4.546;4.968;5.425;5.685;5.868;6.148;6.336;6.706;7.384
56;3.304;3.666;3.893;4.018;4.218;4.358;4.572;4.996;5.455;5.716;5.899;6.181;6.37;6.741;7.423
57;3.325;3.688;3.916;4.042;4.243;4.383;4.598;5.024;5.484;5.747;5.931;6.213;6.403;6.776;7.461
58;3.346;3.711;3.939;4.065;4.267;4.408;4.623;5.051;5.513;5.777;5.962;6.246;6.436;6.811;7.499
59;3.366;3.732;3.962;4.089;4.291;4.432;4.649;5.078;5.542;5.807;5.993;6.278;6.469;6.846;7.537
